SampleID;Sample;Fabric;Guy;Batch;Day.of.wash;Treatment;Orientation;Type;First_Tshirt;Note
Con-A;pol.CH.MA.RU.SA.prewash;pol;CON;B1;NA;prewash;none;sample;NA;
Con-B;cot.CH.MA.RU.SA.prewash;cot;CON;B1;NA;prewash;none;sample;NA;
Con-O;pol.CH.MA.RU.SA.prewash.wash;pol;CON;B1;24.juli.17;prewash.wash;none;sample;NA;
Con-P;cot.CH.MA.RU.SA.prewash.wash;cot;CON;B1;24.juli.17;prewash.wash;none;sample;NA;
Con-C;pol.AL.SI.prewash;pol;CON;B2;NA;prewash;none;sample;NA;
Con-D;cot.AL.SI.prewash;cot;CON;B2;NA;prewash;none;sample;NA;
Con-E;pol.AL.SI.prewash.wash;pol;CON;B2;11.aug.17;prewash.wash;none;sample;NA;
Con-F;cot.AL.SI.prewash.wash;cot;CON;B2;11.aug.17;prewash.wash;none;sample;NA;
Con-G;pol.AN.RA.prewash;pol;CON;B3;NA;prewash;none;sample;NA;
Con-H;cot.AN.RA.prewash;cot;CON;B3;NA;prewash;none;sample;NA;
Con-I;pol.AN.RA.prewash.wash;pol;CON;B3;7.sep.17;prewash.wash;none;sample;NA;
Con-J;cot.AN.RA.prewash.wash;cot;CON;B3;7.sep.17;prewash.wash;none;sample;NA;
Con-K;pol.AM.BR.prewash;pol;CON;B4;NA;prewash;none;sample;NA;
Con-L;cot.AM.BR.prewash;cot;CON;B4;NA;prewash;none;sample;NA;
Con-M;pol.AM.BR.prewash.wash;pol;CON;B4;7.sep.17;prewash.wash;none;sample;NA;
Con-N;cot.AM.BR.prewash.wash;cot;CON;B4;7.sep.17;prewash.wash;none;sample;NA;
cot-AL-dirt-L;cot.AL.dirt.L;cot;AL;B2;NA;dirt;L;sample;cot;
cot-AL-dirt-R;cot.AL.dirt.R;cot;AL;B2;NA;dirt;R;sample;cot;
cot-AL-wash-L;cot.AL.wash.L;cot;AL;B2;11.aug.17;wash;L;sample;cot;
cot-AL-wash-R;cot.AL.wash.R;cot;AL;B2;11.aug.17;wash;R;sample;cot;
cot-AM-dirt-L;cot.AM.dirt.L;cot;AM;B4;NA;dirt;L;sample;cot;
cot-AM-dirt-R;cot.AM.dirt.R;cot;AM;B4;NA;dirt;R;sample;cot;
cot-AM-wash-L;cot.AM.wash.L;cot;AM;B4;7.sep.17;wash;L;sample;cot;
cot-AM-wash-R;cot.AM.wash.R;cot;AM;B4;7.sep.17;wash;R;sample;cot;
cot-AN-dirt-L;cot.AN.dirt.L;cot;AN;B3;NA;dirt;L;sample;cot;
cot-AN-dirt-R;cot.AN.dirt.R;cot;AN;B3;NA;dirt;R;sample;cot;
cot-AN-wash-L;cot.AN.wash.L;cot;AN;B3;7.sep.17;wash;L;sample;cot;
cot-AN-wash-R;cot.AN.wash.R;cot;AN;B3;7.sep.17;wash;R;sample;cot;
cot-BR-dirt-L;cot.BR.dirt.L;cot;BR;B4;NA;dirt;L;sample;cot;
cot-BR-dirt-R;cot.BR.dirt.R;cot;BR;B4;NA;dirt;R;sample;cot;
cot-BR-wash-L;cot.BR.wash.L;cot;BR;B4;7.sep.17;wash;L;sample;cot;
cot-BR-wash-R;cot.BR.wash.R;cot;BR;B4;7.sep.17;wash;R;sample;cot;
cot-CH-dirt-L;cot.CH.dirt.L;cot;CH;B1;NA;dirt;L;sample;pol;
cot-CH-dirt-R;cot.CH.dirt.R;cot;CH;B1;NA;dirt;R;sample;pol;
cot-CH-wash-L;cot.CH.wash.L;cot;CH;B1;24.juli.17;wash;L;sample;pol;
cot-CH-wash-R;cot.CH.wash.R;cot;CH;B1;24.juli.17;wash;R;sample;pol;
cot-MA-dirt-L;cot.MA.dirt.L;cot;MA;B1;NA;dirt;L;sample;cot;
cot-MA-dirt-R;cot.MA.dirt.R;cot;MA;B1;NA;dirt;R;sample;cot;
cot-MA-wash-L;cot.MA.wash.L;cot;MA;B1;24.juli.17;wash;L;sample;cot;
cot-MA-wash-R;cot.MA.wash.R;cot;MA;B1;24.juli.17;wash;R;sample;cot;
cot-RA-dirt-L;cot.RA.dirt.L;cot;RA;B3;NA;dirt;L;sample;pol;
cot-RA-dirt-R;pol.RA.wash.L;pol;RA;B3;7.sep.17;wash;L;sample;pol;accidentially_swapped_with_cot.RA.dirt.R
cot-RA-wash-L;cot.RA.wash.L;cot;RA;B3;7.sep.17;wash;L;sample;pol;
cot-RA-wash-R;cot.RA.wash.R;cot;RA;B3;7.sep.17;wash;R;sample;pol;
cot-RU-dirt-L;cot.RU.dirt.L;cot;RU;B1;NA;dirt;L;sample;pol;
cot-RU-dirt-R;pol.RU.wash.L;pol;RU;B1;24.juli.17;wash;L;sample;pol;accidentially_swapped_with_cot.RU.dirt.R
cot-RU-wash-L;cot.RU.wash.L;cot;RU;B1;24.juli.17;wash;L;sample;pol;
cot-RU-wash-R;cot.RU.wash.R;cot;RU;B1;24.juli.17;wash;R;sample;pol;
cot-SA-dirt-L;cot.SA.dirt.L;cot;SA;B1;NA;dirt;L;sample;cot;
cot-SA-dirt-R;cot.SA.dirt.R;cot;SA;B1;NA;dirt;R;sample;cot;
cot-SA-wash-L;cot.SA.wash.L;cot;SA;B1;24.juli.17;wash;L;sample;cot;
cot-SA-wash-R;cot.SA.wash.R;cot;SA;B1;24.juli.17;wash;R;sample;cot;
cot-SI-dirt-L;cot.SI.dirt.L;cot;SI;B2;NA;dirt;L;sample;pol;
cot-SI-dirt-R;cot.SI.dirt.R;cot;SI;B2;NA;dirt;R;sample;pol;
cot-SI-wash-L;cot.SI.wash.L;cot;SI;B2;11.aug.17;wash;L;sample;pol;
cot-SI-wash-R;cot.SI.wash.R;cot;SI;B2;11.aug.17;wash;R;sample;pol;
pol-AL-dirt-L;pol.AL.dirt.L;pol;AL;B2;NA;dirt;L;sample;cot;
pol-AL-dirt-R;pol.AL.dirt.R;pol;AL;B2;NA;dirt;R;sample;cot;
pol-AL-wash-L;pol.AL.wash.L;pol;AL;B2;11.aug.17;wash;L;sample;cot;
pol-AL-wash-R;pol.AL.wash.R;pol;AL;B2;11.aug.17;wash;R;sample;cot;
pol-AM-dirt-L;pol.AM.dirt.L;pol;AM;B4;NA;dirt;L;sample;cot;
pol-AM-dirt-R;pol.AM.dirt.R;pol;AM;B4;NA;dirt;R;sample;cot;
pol-AM-wash-L;pol.AM.wash.L;pol;AM;B4;7.sep.17;wash;L;sample;cot;
pol-AM-wash-R;pol.AM.wash.R;pol;AM;B4;7.sep.17;wash;R;sample;cot;
pol-AN-dirt-L;pol.AN.dirt.L;pol;AN;B3;NA;dirt;L;sample;cot;
pol-AN-dirt-R;pol.AN.dirt.R;pol;AN;B3;NA;dirt;R;sample;cot;
pol-AN-wash-L;pol.AN.wash.L;pol;AN;B3;7.sep.17;wash;L;sample;cot;
pol-AN-wash-R;pol.AN.wash.R;pol;AN;B3;7.sep.17;wash;R;sample;cot;
pol-BR-dirt-L;pol.BR.dirt.L;pol;BR;B4;NA;dirt;L;sample;cot;
pol-BR-dirt-R;pol.BR.dirt.R;pol;BR;B4;NA;dirt;R;sample;cot;
pol-BR-wash-L;pol.BR.wash.L;pol;BR;B4;7.sep.17;wash;L;sample;cot;
pol-BR-wash-R;pol.BR.wash.R;pol;BR;B4;7.sep.17;wash;R;sample;cot;
pol-CH-dirt-L;pol.CH.dirt.L;pol;CH;B1;NA;dirt;L;sample;pol;
pol-CH-dirt-R;pol.CH.dirt.R;pol;CH;B1;NA;dirt;R;sample;pol;
pol-CH-wash-L;pol.CH.wash.L;pol;CH;B1;24.juli.17;wash;L;sample;pol;
pol-CH-wash-R;pol.CH.wash.R;pol;CH;B1;24.juli.17;wash;R;sample;pol;
pol-MA-dirt-L;pol.MA.dirt.L;pol;MA;B1;NA;dirt;L;sample;cot;
pol-MA-dirt-R;pol.MA.dirt.R;pol;MA;B1;NA;dirt;R;sample;cot;
pol-MA-wash-L;pol.MA.wash.L;pol;MA;B1;24.juli.17;wash;L;sample;cot;
pol-MA-wash-R;pol.MA.wash.R;pol;MA;B1;24.juli.17;wash;R;sample;cot;
pol-RA-dirt-L;pol.RA.dirt.L;pol;RA;B3;NA;dirt;L;sample;pol;
pol-RA-dirt-R;pol.RA.dirt.R;pol;RA;B3;NA;dirt;R;sample;pol;
pol-RA-wash-L;cot.RA.dirt.R;cot;RA;B3;NA;dirt;R;sample;pol;accidentially_swapped_with_pol.RA.wash.L
pol-RA-wash-R;pol.RA.wash.R;pol;RA;B3;7.sep.17;wash;R;sample;pol;
pol-RU-dirt-L;pol.RU.dirt.L;pol;RU;B1;NA;dirt;L;sample;pol;
pol-RU-dirt-R;pol.RU.dirt.R;pol;RU;B1;NA;dirt;R;sample;pol;
pol-RU-wash-L;cot.RU.dirt.R;cot;RU;B1;NA;dirt;R;sample;pol;accidentially_swapped_with_pol.RU.wash.L
pol-RU-wash-R;pol.RU.wash.R;pol;RU;B1;24.juli.17;wash;R;sample;pol;
pol-SA-dirt-L;pol.SA.dirt.L;pol;SA;B1;NA;dirt;L;sample;cot;
pol-SA-dirt-R;pol.SA.dirt.R;pol;SA;B1;NA;dirt;R;sample;cot;
pol-SA-wash-L;pol.SA.wash.L;pol;SA;B1;24.juli.17;wash;L;sample;cot;
pol-SA-wash-R;pol.SA.wash.R;pol;SA;B1;24.juli.17;wash;R;sample;cot;
pol-SI-dirt-L;pol.SI.dirt.L;pol;SI;B2;NA;dirt;L;sample;pol;
pol-SI-dirt-R;pol.SI.dirt.R;pol;SI;B2;NA;dirt;R;sample;pol;
pol-SI-wash-L;pol.SI.wash.L;pol;SI;B2;11.aug.17;wash;L;sample;pol;
pol-SI-wash-R;pol.SI.wash.R;pol;SI;B2;11.aug.17;wash;R;sample;pol;
Eva-blank1;Eva.blank1;none;none;none;NA;none;none;control;NA;
Eva-blank2;Eva.blank2;none;none;none;NA;none;none;control;NA;
extraction-ctrl1;extraction.ctrl1;none;none;none;NA;none;none;control;NA;
extraction-ctrl2;extraction.ctrl2;none;none;none;NA;none;none;control;NA;
PCR1-ctrl;PCR1.ctrl;none;none;none;NA;none;none;control;NA;
PCR1-eva;PCR1.eva;none;none;none;NA;none;none;control;NA;
PCR2-ctrl;PCR2.ctrl;none;none;none;NA;none;none;control;NA;
